build_id,timestamp,hour,day_of_week,repo_size_mb,num_files,test_count,dependencies,cpu_cores,memory_gb,cache_hit_rate,branch_type,build_time_minutes,status,cost_usd
build_00027,2025-08-27T20:35:17.543926,20,2,23.42,1264,15,51,16,32,0.914,feature,9.24,success,0.0863
build_00028,2025-09-18T22:35:17.543926,22,3,10815.6,3604,56,35,2,8,0.619,hotfix,818.75,success,1.2281
build_00029,2025-09-01T01:35:17.543926,1,0,912.16,771,378,45,8,8,0.877,release,267.39,success,1.0696
build_00030,2026-01-07T05:35:17.543926,5,2,396.76,34,50,42,8,32,0.503,hotfix,18.21,success,0.1093
build_00031,2025-10-17T21:35:17.543926,21,4,1313.49,674,348,32,2,4,0.467,hotfix,330.72,success,0.3858
build_00032,2025-10-09T13:35:17.543926,13,3,15260.32,229,3124,62,8,32,0.69,feature,1149.34,success,6.896
build_00033,2025-10-16T14:35:17.543926,14,3,1480.6,46,82,61,8,32,0.539,feature,78.13,success,0.4688
build_00034,2025-10-11T23:35:17.543926,23,5,126.24,45,1700,26,2,8,0.835,feature,886.8,success,1.3302
build_00035,2026-01-03T01:35:17.543926,1,5,1183.54,247,11,50,2,4,0.72,feature,98.45,failed,0.1149
build_00036,2025-10-18T04:35:17.543926,4,5,223.77,193,297,38,4,8,0.451,feature,159.68,success,0.3726
build_00037,2025-12-10T22:35:17.543926,22,2,10782.51,34,56,34,2,4,0.845,feature,772.63,success,0.9014
build_00038,2025-10-22T11:35:17.543926,11,2,2923.25,1925,289,72,2,4,0.952,feature,509.01,success,0.5938
build_00039,2025-09-23T09:35:17.543926,9,1,413.24,247,72,34,8,4,0.739,hotfix,67.86,success,0.2488
build_00040,2025-11-07T20:35:17.543926,20,4,3728.56,711,209,67,8,4,0.883,feature,296.77,success,1.0882
build_00041,2025-10-16T23:35:17.543926,23,3,294.85,71,658,72,2,8,0.504,feature,362.13,failed,0.5432
build_00042,2025-09-29T09:35:17.543926,9,0,1913.56,220,164,42,8,4,0.579,hotfix,219.01,success,0.803
build_00043,2025-09-06T22:35:17.543926,22,5,24664.03,1341,90,24,2,16,0.569,feature,1518.01,success,3.289
build_00044,2026-01-07T23:35:17.543926,23,2,35.39,1689,637,34,2,16,0.853,feature,337.95,failed,0.7322
build_00045,2025-10-26T00:35:17.543926,0,6,3232.98,1825,240,40,2,16,0.63,feature,340.17,success,0.737
build_00046,2026-01-16T14:35:17.543926,14,4,1142.41,352,1149,50,8,32,0.733,feature,280.43,success,1.6826
build_00047,2025-11-15T07:35:17.543926,7,5,566.91,450,354,49,2,8,0.524,release,319.63,success,0.4795
build_00048,2025-11-20T18:35:17.543926,18,3,427.89,245,245,39,2,4,0.322,feature,193.45,success,0.2257
build_00049,2025-09-30T06:35:17.543926,6,1,1586.29,320,315,60,2,8,0.652,release,322.45,success,0.4837
build_00050,2026-01-13T19:35:17.543926,19,1,281.36,196,163,29,4,8,0.577,feature,90.46,success,0.2111
build_00051,2025-12-12T18:35:17.543926,18,4,62.37,227,76,43,2,16,0.986,feature,47.18,success,0.1022
build_00052,2025-12-10T12:35:17.543926,12,2,132.79,185,39,67,2,16,0.724,feature,49.69,success,0.1077
build_00053,2025-11-28T19:35:17.543926,19,4,2284.86,955,313,44,16,32,0.942,feature,52.79,success,0.4927
build_00054,2025-12-03T01:35:17.543926,1,2,89.6,2355,33,35,4,4,0.32,feature,136.09,success,0.2722
build_00055,2025-11-16T21:35:17.543926,21,6,1046.87,3938,5,54,2,8,0.675,feature,227.78,success,0.3417
build_00056,2025-07-26T05:35:17.543926,5,5,2023.09,73,510,49,2,4,0.663,release,455.72,success,0.5317
build_00057,2026-01-16T14:35:17.543926,14,4,160.88,676,62,46,2,4,0.822,feature,101.65,success,0.1186
build_00058,2025-10-06T22:35:17.543926,22,0,462.45,455,3203,42,8,4,0.799,feature,1481.35,success,5.4316
build_00059,2025-07-31T16:35:17.543926,16,3,471.68,296,67,52,2,32,0.647,feature,84.45,success,0.2956
build_00060,2025-12-26T19:35:17.543926,19,4,716.97,455,102,45,16,8,0.545,main,79.28,success,0.5814
build_00061,2025-12-08T19:35:17.543926,19,0,258.34,415,153,55,4,4,0.649,feature,113.72,success,0.2274
build_00062,2026-01-05T12:35:17.543926,12,0,9609.11,491,511,29,4,4,0.787,feature,1030.51,success,2.061
build_00063,2025-08-04T20:35:17.543926,20,0,9081.74,258,849,64,2,8,0.843,main,1034.32,success,1.5515
build_00064,2025-11-11T05:35:17.543926,5,1,759.3,166,68,53,16,16,0.775,main,41.92,success,0.3354
build_00065,2025-12-20T01:35:17.543926,1,5,666.89,266,130,50,4,8,0.811,release,111.49,success,0.2601
build_00066,2026-01-10T02:35:17.543926,2,5,8668.16,799,126,58,2,8,0.759,feature,606.12,success,0.9092
build_00067,2025-07-26T01:35:17.543926,1,5,1278.18,808,41,14,8,4,0.905,feature,105.41,success,0.3865
build_00068,2025-10-03T13:35:17.543926,13,4,189.93,191,48,51,16,8,0.577,feature,34.35,success,0.2519
build_00069,2025-12-01T10:35:17.543926,10,0,3997.38,774,15,40,8,4,0.652,feature,330.59,failed,1.2122
build_00070,2025-10-19T09:35:17.543926,9,6,561.35,489,538,33,4,4,0.668,release,529.45,success,1.0589
build_00071,2025-07-25T17:35:17.543926,17,4,1931.05,1930,137,37,16,8,0.813,feature,155.37,success,1.1394
build_00072,2025-12-03T00:35:17.543926,0,2,160.7,965,323,42,4,8,0.83,main,180.92,success,0.4222
build_00073,2025-10-26T12:35:17.543926,12,6,9562.91,119,178,42,2,16,0.634,feature,721.94,success,1.5642
build_00074,2025-10-10T16:35:17.543926,16,4,142.96,294,61,43,2,16,0.944,feature,70.41,success,0.1526
build_00075,2025-08-23T21:35:17.543926,21,5,521.23,585,263,43,2,32,0.333,feature,164.69,failed,0.5764
build_00076,2025-07-24T14:35:17.543926,14,3,5088.36,442,28,32,2,8,0.748,feature,511.83,success,0.7677
build_00077,2025-08-23T08:35:17.543926,8,5,10780.85,597,336,37,2,16,0.839,feature,802.58,success,1.7389
build_00078,2025-10-21T11:35:17.543926,11,1,701.03,3511,22,57,8,16,0.694,feature,125.7,success,0.5866
build_00079,2025-11-25T08:35:17.543926,8,1,54.81,745,43,41,8,16,0.827,hotfix,18.37,success,0.0857
build_00080,2025-12-30T08:35:17.543926,8,1,22083.93,78,74,53,4,8,0.693,main,1421.3,success,3.3164
build_00081,2025-07-24T14:35:17.543926,14,3,1782.37,301,20,43,4,8,0.965,release,191.7,success,0.4473
build_00082,2026-01-08T04:35:17.543926,4,3,169.25,98,76,49,2,8,0.734,release,68.8,success,0.1032
build_00083,2025-09-17T00:35:17.543926,0,2,676.92,3218,234,49,8,4,0.792,release,315.73,success,1.1577
build_00084,2025-09-04T13:35:17.543926,13,3,971.58,2243,374,38,2,4,0.462,feature,475.06,success,0.5542
build_00085,2025-09-04T19:35:17.543926,19,3,2340.55,216,1475,41,8,32,0.421,feature,349.53,failed,2.0972
build_00086,2025-10-10T04:35:17.543926,4,4,2771.22,464,272,56,2,4,0.383,feature,410.12,failed,0.4785
build_00087,2025-12-24T22:35:17.543926,22,2,512.08,74,48,57,8,8,0.767,feature,42.92,success,0.1717
build_00088,2025-10-23T19:35:17.543926,19,3,290.69,1905,23,40,2,4,0.733,feature,102.3,success,0.1194
build_00089,2025-09-11T14:35:17.543926,14,3,5938.28,78,182,21,8,16,0.729,main,424.08,success,1.979
build_00090,2025-08-23T07:35:17.543926,7,5,176.63,249,27,42,4,8,0.751,main,38.55,success,0.0899
build_00091,2025-10-21T14:35:17.543926,14,1,11361.89,352,122,33,8,4,0.587,main,1149.66,success,4.2154
build_00092,2025-11-23T23:35:17.543926,23,6,49964.72,609,297,58,2,32,0.546,feature,2692.33,success,9.4232
build_00093,2025-11-28T05:35:17.543926,5,4,4181.38,128,109,50,4,4,0.811,feature,289.56,success,0.5791
build_00094,2025-08-11T21:35:17.543926,21,0,1757.37,402,244,35,4,16,0.557,main,208.29,success,0.6249
build_00095,2025-08-23T00:35:17.543926,0,5,377.3,1392,114,38,2,8,0.789,main,126.84,success,0.1903
build_00096,2025-11-12T10:35:17.543926,10,2,13478.6,613,63,43,16,4,0.52,feature,859.55,success,6.0168
build_00097,2025-11-08T07:35:17.543926,7,5,7003.32,135,101,59,4,4,0.73,feature,488.49,failed,0.977
build_00098,2025-09-29T06:35:17.543926,6,0,109.43,122,159,27,2,32,0.566,feature,80.17,success,0.2806
build_00099,2025-12-06T02:35:17.543926,2,5,35.13,712,304,38,2,8,0.707,main,223.6,success,0.3354
build_00100,2026-01-18T00:35:17.543926,0,6,236.25,545,209,42,4,4,0.855,release,176.71,success,0.3534
build_00101,2025-11-28T01:35:17.543926,1,4,1677.31,182,283,30,2,4,0.693,feature,267.77,failed,0.3124
build_00102,2025-09-11T16:35:17.543926,16,3,436.98,298,93,45,16,16,0.398,feature,40.67,success,0.3253
build_00103,2025-10-21T16:35:17.543926,16,1,782.78,108,135,48,2,8,0.466,feature,204.58,success,0.3069
build_00104,2025-10-16T06:35:17.543926,6,3,246.86,391,14,72,2,8,0.831,feature,40.8,success,0.0612
build_00105,2025-11-03T09:35:17.543926,9,0,36.07,642,181,47,8,16,0.857,hotfix,47.38,success,0.2211
build_00106,2025-10-22T01:35:17.543926,1,2,3603.23,1377,128,45,4,8,0.76,feature,260.45,success,0.6077
build_00107,2025-10-17T10:35:17.543926,10,4,76.1,184,426,51,2,4,0.754,main,424.12,success,0.4948
build_00108,2025-10-24T01:35:17.543926,1,4,982.79,138,142,33,4,8,0.874,feature,101.66,success,0.2372
build_00109,2025-12-06T16:35:17.543926,16,5,630.51,497,121,30,8,16,0.698,hotfix,60.63,success,0.283
build_00110,2025-08-20T11:35:17.543926,11,2,5926.55,181,211,27,2,8,0.61,feature,709.22,success,1.0638
build_00111,2025-07-25T11:35:17.543926,11,4,9441.5,856,234,60,4,4,0.816,feature,830.34,success,1.6607
build_00112,2026-01-05T20:35:17.543926,20,0,2099.98,1322,45,63,4,16,0.718,feature,164.09,success,0.4923
build_00113,2026-01-02T20:35:17.543926,20,4,3554.78,138,149,64,2,4,0.674,hotfix,240.02,success,0.28
build_00114,2025-12-20T23:35:17.543926,23,5,1325.67,202,1385,69,4,16,0.862,main,694.54,success,2.0836
build_00115,2025-11-25T11:35:17.543926,11,1,414.1,437,711,34,2,8,0.609,feature,587.6,failed,0.8814
build_00116,2026-01-19T10:35:17.543926,10,0,6846.89,722,113,33,2,8,0.532,main,889.37,success,1.3341
build_00117,2026-01-06T15:35:17.543926,15,1,77.27,253,21,50,4,4,0.689,feature,50.31,success,0.1006
build_00118,2025-08-22T02:35:17.543926,2,4,245.29,545,372,59,2,4,0.79,feature,254.89,success,0.2974
build_00119,2025-08-02T01:35:17.543926,1,5,328.73,196,82,57,2,16,0.785,main,72.33,success,0.1567
build_00120,2025-09-22T22:35:17.543926,22,0,2277.97,703,130,76,2,16,0.849,release,241.82,success,0.5239
build_00121,2025-08-18T10:35:17.543926,10,0,12631.96,1115,3625,40,4,4,0.908,hotfix,2422.71,success,4.8454
build_00122,2025-07-28T14:35:17.543926,14,0,911.63,1235,53,56,2,8,0.465,feature,202.14,success,0.3032
build_00123,2025-08-26T02:35:17.543926,2,1,312.32,301,22,54,4,4,0.793,release,68.91,success,0.1378
build_00124,2025-12-23T22:35:17.543926,22,1,745.23,194,56,55,4,4,0.596,main,97.53,success,0.1951
build_00125,2025-10-11T15:35:17.543926,15,5,7681.98,233,79,47,4,8,0.772,release,788.92,success,1.8408
build_00126,2025-10-12T03:35:17.543926,3,6,1903.18,217,236,35,2,16,0.876,feature,205.66,success,0.4456
build_00127,2025-09-10T15:35:17.543926,15,2,3288.58,432,518,38,8,8,0.827,feature,447.74,success,1.7909
build_00128,2025-10-02T07:35:17.543926,7,3,536.19,785,101,36,4,4,0.847,main,120.84,success,0.2417
build_00129,2025-08-12T16:35:17.543926,16,1,9566.24,799,72,54,2,8,0.841,feature,696.89,success,1.0453
build_00130,2025-08-18T08:35:17.543926,8,0,1018.35,297,236,36,8,8,0.546,feature,131.78,success,0.5271
build_00131,2025-11-15T00:35:17.543926,0,5,740.07,322,97,43,4,4,0.557,main,171.56,success,0.3431
build_00132,2025-11-06T17:35:17.543926,17,3,514.27,893,21,38,4,8,0.776,feature,76.1,success,0.1776
build_00133,2025-08-10T10:35:17.543926,10,6,929.92,2022,719,65,4,4,0.817,feature,737.92,success,1.4758
build_00134,2025-12-27T05:35:17.543926,5,5,1287.64,903,190,41,4,8,0.802,feature,130.24,success,0.3039
build_00135,2025-09-13T02:35:17.543926,2,5,1714.51,538,102,26,2,8,0.538,hotfix,150.29,success,0.2254
build_00136,2025-09-25T18:35:17.543926,18,3,1216.75,198,24,26,8,8,0.643,main,89.64,success,0.3586
build_00137,2026-01-08T14:35:17.543926,14,3,5511.31,729,66,47,4,32,0.716,feature,298.38,success,1.293
build_00138,2025-08-31T10:35:17.543926,10,6,1733.64,819,196,55,2,32,0.901,feature,203.61,success,0.7126
build_00139,2025-10-09T21:35:17.543926,21,3,829.49,187,120,29,2,8,0.537,hotfix,92.42,success,0.1386
build_00140,2025-10-25T23:35:17.543926,23,5,2202.77,65,64,26,8,8,0.85,hotfix,81.93,success,0.3277
build_00141,2025-12-05T16:35:17.543926,16,4,1542.99,48,684,38,2,16,0.812,main,514.96,failed,1.1157
build_00142,2025-09-14T22:35:17.543926,22,6,1269.67,80,50,43,8,8,0.827,main,82.37,failed,0.3295
build_00143,2025-12-30T04:35:17.543926,4,1,1798.59,684,12,46,8,16,0.801,main,80.36,success,0.375
build_00144,2025-09-27T09:35:17.543926,9,5,1201.92,661,470,26,4,8,0.536,feature,504.56,success,1.1773
build_00145,2025-09-17T00:35:17.543926,0,2,2170.24,863,1093,64,4,4,0.531,feature,791.69,failed,1.5834
build_00146,2025-09-29T15:35:17.543926,15,0,2923.59,764,62,46,4,16,0.859,release,267.69,success,0.8031
build_00147,2025-10-31T21:35:17.543926,21,4,874.01,730,4,51,4,8,0.856,feature,74.94,success,0.1749
build_00148,2025-12-27T04:35:17.543926,4,5,1506.38,2266,127,40,2,4,0.731,feature,224.61,success,0.262
build_00149,2025-10-16T11:35:17.543926,11,3,4734.24,333,76,45,2,32,0.794,feature,306.06,success,1.0712
build_00150,2025-09-24T22:35:17.543926,22,2,98.36,188,58,34,16,8,0.609,feature,26.23,success,0.1923
build_00151,2025-09-16T21:35:17.543926,21,1,1662.48,19,185,68,4,4,0.77,feature,212.19,failed,0.4244
build_00152,2025-09-05T16:35:17.543926,16,4,70.1,392,221,33,8,4,0.738,feature,137.42,success,0.5039
build_00153,2025-11-10T21:35:17.543926,21,0,5933.57,485,41,46,16,8,0.793,main,258.74,success,1.8974
build_00154,2026-01-03T00:35:17.543926,0,5,9266.14,1018,472,59,8,32,0.443,feature,327.57,success,1.9654
build_00155,2025-11-09T08:35:17.543926,8,6,558.2,375,563,47,2,16,0.956,feature,290.43,success,0.6293
build_00156,2026-01-02T18:35:17.543926,18,4,728.12,581,475,65,2,8,0.458,feature,362.93,success,0.5444
build_00157,2025-09-27T01:35:17.543926,1,5,878.02,70,171,28,2,8,0.476,main,151.67,success,0.2275
build_00158,2025-08-24T08:35:17.543926,8,6,931.07,247,107,64,2,4,0.595,feature,145.12,success,0.1693
build_00159,2025-07-25T21:35:17.543926,21,4,158.91,173,356,55,4,8,0.807,feature,202.74,success,0.4731
build_00160,2025-12-01T09:35:17.543926,9,0,99.35,176,131,27,4,4,0.774,feature,98.9,success,0.1978
build_00161,2025-08-12T17:35:17.543926,17,1,680.91,663,582,64,2,32,0.459,main,462.84,failed,1.62
build_00162,2025-10-18T01:35:17.543926,1,5,103.91,397,131,38,8,8,0.765,main,93.69,success,0.3747
build_00163,2025-11-08T12:35:17.543926,12,5,106.15,631,231,44,4,8,0.742,feature,169.59,success,0.3957
build_00164,2025-12-14T06:35:17.543926,6,6,312.64,1964,523,40,2,4,0.861,hotfix,304.2,success,0.3549
build_00165,2025-12-20T20:35:17.543926,20,5,1852.69,1582,196,44,2,4,0.17,feature,321.47,failed,0.375
build_00166,2025-09-30T10:35:17.543926,10,1,66.7,1104,65,53,2,8,0.766,feature,97.62,success,0.1464
build_00167,2025-11-21T04:35:17.543926,4,4,3070.14,698,3501,35,8,32,0.625,feature,667.33,success,4.004
build_00168,2026-01-20T09:35:17.543926,9,1,301.87,144,88,44,2,4,0.567,main,147.98,success,0.1726
build_00169,2025-11-29T16:35:17.543926,16,5,3350.54,68,217,38,8,4,0.827,feature,351.42,success,1.2885
build_00170,2025-12-12T17:35:17.543926,17,4,4877.91,342,560,34,4,16,0.773,feature,521.29,success,1.5639
build_00171,2025-12-30T08:35:17.543926,8,1,318.59,1736,18,37,8,4,0.673,feature,81.88,success,0.3002
build_00172,2025-07-30T21:35:17.543926,21,2,1419.45,139,349,55,16,8,0.763,main,165.04,success,1.2103
build_00173,2025-10-20T21:35:17.543926,21,0,990.47,110,34,57,16,8,0.751,feature,44.81,failed,0.3286
build_00174,2025-10-12T00:35:17.543926,0,6,1610.15,292,539,48,4,8,0.5,feature,342.61,success,0.7994
build_00175,2025-08-20T23:35:17.543926,23,2,1020.14,148,106,32,4,16,0.441,release,162.77,failed,0.4883
build_00176,2025-07-29T05:35:17.543926,5,1,1010.38,317,95,30,4,16,0.463,feature,97.58,success,0.2927
build_00177,2025-08-12T08:35:17.543926,8,1,1506.62,230,223,52,16,4,0.736,feature,156.44,success,1.0951
build_00178,2025-10-15T09:35:17.543926,9,2,1829.3,111,166,29,4,8,0.611,main,263.78,success,0.6155
build_00179,2025-11-09T21:35:17.543926,21,6,1839.68,491,55,63,2,32,0.68,feature,136.01,success,0.476
build_00180,2025-11-08T00:35:17.543926,0,5,897.1,147,31,50,2,16,0.339,feature,91.65,success,0.1986
build_00181,2025-12-17T00:35:17.543926,0,2,3241.8,860,854,35,4,16,0.746,feature,479.1,success,1.4373
build_00182,2025-11-24T23:35:17.543926,23,0,15129.11,1605,31,52,2,4,0.686,feature,1001.66,failed,1.1686
build_00183,2025-07-27T01:35:17.543926,1,6,314.9,98,94,64,2,16,0.974,feature,61.08,success,0.1323
build_00184,2025-09-04T19:35:17.543926,19,3,1382.3,2234,118,37,4,8,0.877,feature,215.5,success,0.5028
build_00185,2025-08-24T10:35:17.543926,10,6,355.7,80,12,50,8,4,0.846,release,55.22,success,0.2025
build_00186,2025-08-27T19:35:17.543926,19,2,3314.09,344,156,33,16,16,0.728,main,119.62,success,0.957
build_00187,2025-08-05T01:35:17.543926,1,1,3532.05,307,178,45,8,16,0.92,feature,138.88,success,0.6481
build_00188,2025-09-05T10:35:17.543926,10,4,1426.27,7984,230,40,8,16,0.453,feature,376.82,success,1.7585
build_00189,2025-12-09T19:35:17.543926,19,1,276.43,451,1204,40,2,4,0.93,feature,634.93,success,0.7408
build_00190,2026-01-06T11:35:17.543926,11,1,2149.59,1912,141,46,8,8,0.889,feature,220.67,success,0.8827
build_00191,2025-11-10T04:35:17.543926,4,0,1193.85,159,201,34,2,8,0.691,main,192.63,success,0.2889
build_00192,2025-08-03T23:35:17.543926,23,6,55892.73,132,860,56,2,16,0.811,feature,3633.6,success,7.8728
build_00193,2025-08-20T23:35:17.543926,23,2,429.01,181,137,59,2,4,0.554,main,120.77,success,0.1409
build_00194,2026-01-14T14:35:17.543926,14,2,6635.03,246,15,51,2,8,0.812,feature,571.62,success,0.8574
build_00195,2025-08-21T11:35:17.543926,11,3,199.03,734,330,36,4,16,0.732,feature,217.32,success,0.652
build_00196,2025-12-22T01:35:17.543926,1,0,11696.63,134,37,27,2,8,0.874,feature,635.37,success,0.9531
build_00197,2025-11-08T20:35:17.543926,20,5,85.6,214,44,35,16,8,0.629,hotfix,16.84,success,0.1235
build_00198,2025-08-09T12:35:17.543926,12,5,12657.46,4535,723,52,4,16,0.578,main,1660.44,success,4.9813
build_00199,2025-11-23T19:35:17.543926,19,6,2422.58,156,830,38,2,16,0.81,feature,484.57,success,1.0499
build_00200,2025-12-20T12:35:17.543926,12,5,2999.23,301,84,51,2,4,0.715,feature,339.83,failed,0.3965
build_00201,2025-11-05T23:35:17.543926,23,2,515.08,1359,72,26,2,4,0.604,hotfix,110.88,success,0.1294
build_00202,2025-12-14T07:35:17.543926,7,6,904.81,780,20,29,4,16,0.578,hotfix,50.47,success,0.1514
build_00203,2025-12-07T11:35:17.543926,11,6,134.59,754,429,37,4,8,0.464,feature,330.3,success,0.7707
build_00204,2025-10-10T15:35:17.543926,15,4,3379.32,734,29,39,4,8,0.894,release,356.95,success,0.8329
build_00205,2025-10-09T22:35:17.543926,22,3,1341.72,77,283,45,2,4,0.888,hotfix,178.7,success,0.2085
build_00206,2025-11-08T11:35:17.543926,11,5,2127.42,404,44,63,8,4,0.782,feature,190.31,success,0.6978
build_00207,2026-01-01T05:35:17.543926,5,3,300.13,328,60,42,2,4,0.564,feature,80.77,success,0.0942
build_00208,2025-08-31T04:35:17.543926,4,6,559.43,1200,29,33,2,16,0.603,feature,77.61,failed,0.1681
build_00209,2025-12-05T13:35:17.543926,13,4,202.52,551,141,64,2,4,0.622,main,196.45,failed,0.2292
build_00210,2025-09-26T03:35:17.543926,3,4,721.75,939,139,29,4,8,0.529,feature,167.63,success,0.3911
build_00211,2025-10-13T01:35:17.543926,1,0,727.06,2273,162,57,16,32,0.834,main,44.07,success,0.4113
build_00212,2025-10-01T23:35:17.543926,23,2,2128.09,262,234,41,4,4,0.878,feature,249.66,failed,0.4993
build_00213,2025-12-13T21:35:17.543926,21,5,2213.82,4814,2254,63,4,4,0.873,main,1415.3,success,2.8306
build_00214,2026-01-15T17:35:17.543926,17,3,1357.14,716,361,56,8,8,0.743,feature,303.19,failed,1.2127
build_00215,2025-11-25T20:35:17.543926,20,1,3379.28,813,38,64,4,4,0.618,feature,301.51,success,0.603
build_00216,2025-12-09T09:35:17.543926,9,1,1593.63,165,55,38,8,8,0.624,feature,146.09,success,0.5844
build_00217,2025-08-14T01:35:17.543926,1,3,1300.89,444,702,36,2,32,0.81,feature,312.83,success,1.0949
build_00218,2026-01-08T14:35:17.543926,14,3,8725.13,2121,10,45,2,8,0.504,feature,838.79,success,1.2582
build_00219,2025-10-14T06:35:17.543926,6,1,569.13,1092,84,51,2,4,0.706,feature,90.78,success,0.1059
build_00220,2025-09-16T22:35:17.543926,22,1,152.87,947,76,34,16,16,0.831,hotfix,23.66,success,0.1893
build_00221,2025-10-03T20:35:17.543926,20,4,379.68,133,449,38,4,16,0.65,feature,224.91,success,0.6747
build_00222,2025-09-03T03:35:17.543926,3,2,178.83,317,171,33,2,16,0.754,feature,94.83,success,0.2055
build_00223,2025-09-04T13:35:17.543926,13,3,3979.74,336,102,41,2,4,0.704,feature,432.05,success,0.5041
build_00224,2025-10-16T08:35:17.543926,8,3,2105.37,292,334,53,2,8,0.538,main,353.58,success,0.5304
build_00225,2025-11-02T21:35:17.543926,21,6,1324.75,655,23,57,4,8,0.785,main,140.33,success,0.3274
build_00226,2025-08-18T02:35:17.543926,2,0,1338.6,930,103,41,8,16,0.761,main,123.54,success,0.5765
build_00227,2025-09-03T14:35:17.543926,14,2,128.13,128,102,45,8,4,0.701,feature,74.78,success,0.2742
build_00228,2025-10-13T07:35:17.543926,7,0,3313.89,135,69,25,16,8,0.516,feature,151.34,failed,1.1098
build_00229,2025-09-17T00:35:17.543926,0,2,78.9,2568,180,40,2,4,0.682,feature,185.12,success,0.216
build_00230,2025-11-20T02:35:17.543926,2,3,1485.48,2062,61,68,8,4,0.564,feature,187.58,success,0.6878
build_00231,2025-09-22T20:35:17.543926,20,0,1745.85,72,229,42,4,16,0.89,feature,168.52,success,0.5056
build_00232,2025-11-05T18:35:17.543926,18,2,219.69,339,885,29,8,32,0.905,main,168.41,success,1.0105
build_00233,2025-11-25T08:35:17.543926,8,1,19.01,486,41,61,4,4,0.8,hotfix,35.74,success,0.0715
build_00234,2025-11-24T11:35:17.543926,11,0,626.1,242,72,42,4,8,0.802,feature,99.36,success,0.2319
build_00235,2025-10-29T15:35:17.543926,15,2,515.03,1928,243,44,2,8,0.744,main,302.58,success,0.4539
build_00236,2025-11-20T08:35:17.543926,8,3,55.8,219,334,35,4,8,0.895,feature,154.12,success,0.3596
build_00237,2025-09-12T00:35:17.543926,0,4,3201.83,149,110,48,2,16,0.884,main,228.55,success,0.4952
build_00238,2025-12-13T11:35:17.543926,11,5,2379.81,1067,94,59,8,8,0.449,main,325.98,success,1.3039
